key,display_code,edition_year,title,status,category,subcategory,compliance_mandatory,verification_level,flags,has_full_text,confidence_tier
IS 10,IS 10:1998,1998,Plywood Tea-Chests - Specification,ACTIVE,,,,single_source_unconfirmed,no_full_text|certification_status_unknown,False,single_source
IS 44,IS 44,,Iron Oxide Pigments For Paints,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 54,IS 54:1988,1988,Nitric Acid - Specification,ACTIVE,Chemicals,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 73,IS 73:2013,2013,Paving Bitumen - Specification,ACTIVE,Civil & Construction,,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present,True,multi_source
IS 105,IS 105:1975,1975,"Ready Mixed Paint, Brushing, Finishing, Oil Gloss",ACTIVE,Chemicals,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 110,IS 110:1983,1983,"READY MIXED PAINT, BRUSHING, GREY FILLER,",ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 158,IS 158,,"Ready Mixed Paint, Brushing, Bituminous, Black, Lead-free, Acid, Alkali And Heat Resisting",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 164,IS 164,,Ready Mixed Paint For Road Marking,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 170,IS 170,,Acetone,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 177,IS 177,,Cotton Drills,ACTIVE,Textiles & Garments,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 190,IS 190:1991,1991,CONIFEROUS SAWN TIMBER,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 191,IS 191,,Copper,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 204 (Part 1),IS 204 (Part 1):1991,1991,Tower Bolts - Specification Part-1 Ferrous Metals,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 204 (Part 2),IS 204 (Part 2):1992,1992,Tower Bolts - Specification Part-2 Non-ferrous Metals,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 205,IS 205:1992,1992,Non-ferrous Metal Butt Hinges -specification,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 206,IS 206:1992,1992,TEE AND STRAP HINGES,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 207,IS 207:1964,1964,GATE AND SHUTTER HOOKS AND EYES,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 208,IS 208:1996,1996,Door Handles -specification,ACTIVE,General Engineering & Consumer Goods,,,verified_multi_source,certification_status_unknown,True,multi_source
IS 210,IS 210:2009,2009,Grey Iron Castings — Specification,ACTIVE,Metals & Castings,,,needs_review,no_full_text|source_conflict_present|certification_status_disputed_across_sources|certification_status_unknown,False,multi_source
IS 212,IS 212:1983,1983,CRUDE COAL TAR FOR GENERAL USE,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 215,IS 215:1995,1995,ROAD TAR,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 216,IS 216:1961,1961,COAL TAR PITCH,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 218,IS 218:1983,1983,CREOSOTE OIL FOR USE AS WOOD,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 228,IS 228,,Methods of Chemical Analysis of Steel,ACTIVE,Testing & Normative Reference,,,single_source_unconfirmed,no_full_text|certification_status_unknown,False,single_source
IS 245,IS 245,,"Trichloroethylene, Technical",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 251,IS 251,,"Soda Ash, Technical",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 252,IS 252:2013,2013,"Caustic Soda, Pure and Technical - Specification",ACTIVE,Chemicals,,True,verified_multi_source,no_full_text,False,multi_source
IS 253,IS 253,,Specification For Common Salt,ACTIVE,"Plastics, Chemicals & Rubber",,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 260,IS 260:1969,1969,"Aluminium Sulphate, Non-Ferric (Alum)",ACTIVE,Chemicals,,True,single_source_unconfirmed,no_full_text,False,single_source
IS 261,IS 261,,Copper Sulphate,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 266,IS 266,,Sulphuric Acid,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 269,IS 269:2015,2015,"Ordinary Portland Cement, 33 Grade — Specification",ACTIVE,Construction Materials - Cement,,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present|amendment_or_verification_data_self_asserted_not_network_verified,True,multi_source
IS 274 (Part 1 and 2),IS 274 (Part 1 and 2),,Shovels - Part 1 : General Purpose Shovels - Part Ii : Heat-treated Shovels,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 276,IS 276,,Austenitic-manganese Steel Castings,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 277,IS 277:2018,2018,Galvanized Steel Sheets (Plain and Corrugated) - Specification,ACTIVE,Civil & Construction,,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present,True,multi_source
IS 278,IS 278:1978,1978,Galvanized Steel Barbed Wire For Fencing-specification,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 280,IS 280:2006,2006,Mild Steel Wire for General Engineering Purposes (Binding Wire),ACTIVE,Civil & Construction,,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present,True,multi_source
IS 281,IS 281:1991,1991,Mild Steel Sliding Door Bolts For Use With Padlocks -specification,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 299,IS 299,,Alumino-ferric - Specification,ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 302 (Part 1),IS 302 (Part 1):2008,2008,Safety of Household and Similar Electrical Appliances — General Requirements,ACTIVE,Electrical - Appliances,,True,verified_multi_source,no_full_text,False,multi_source
IS 302 (Part 2/Sec 14),IS 302 (Part 2/Sec 14),,Safety Of Household And Similar Electrical Appliances: Part 2 Particular Requirements. Section 14 Electric Kitchen Machines,ACTIVE,Electrical & Electronics,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
